name	id	id_without_compartment	base_to_work_from	difference	base_smiles	modified_smiles
Hyodeoxycholic acid-24glucuronide, HDCA-24G	MAM03644r	MAM03644	195891	from 6 to 24	[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)C(=O)O)O)O)OC[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C[C@@H]([C@H]4[C@@]3(CC[C@H](C4)O)C)O)C	[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)C(=O)O)O)O)OC[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C[C@@H]([C@H]4[C@@]3(CC[C@H](C4)O)C)O)C
17beta-estradiol-2,3-semiquinone	MAM00411l	MAM00411	11231075	amino to quinone	C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2N)CCC4=C3C=CC(=C4)O	C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=O)C4O
17beta-estradiol-3,4-semiquinone	MAM00413l	MAM00413	from 17beta-estradiol-2,3-semiquinone			C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(O)C4=O
estrone-3,4-semiquinone	MAM01794r	MAM01794	https://www.metanetx.org/chem_info/MNXM52646		C[C@]12CCC3C4=CC(=O)C(=O)C=C4CCC3C1CCC2=O	C[C@]12CCC3C4=C(=O)C(=O)CC=C4CCC3C1CCC2=O
estrone-2,3-semiquinone	MAM01792r	MAM01792	https://www.metanetx.org/chem_info/MNXM52646		C[C@]12CCC3C4=CC(=O)C(=O)C=C4CCC3C1CCC2=O	C[C@]12CCC3C4=CC(=O)C(=O)C=C4CCC3C1CCC2=O
Hyodeoxycholic acid-6glucuronide, HDCA-6G	MAM03645r	MAM03645	195891	is this	C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C[C@@H]([C@H]4[C@@]3(CC[C@H](C4)O)C)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)C(=O)O)O)O)O)C	C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C[C@@H]([C@H]4[C@@]3(CC[C@H](C4)O)C)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)C(=O)O)O)O)O)C
Lithocholic acid-3glucuronide, CDCA-3G	MAM03708r	MAM03708	101627374	is this	C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)C(=O)O)O)O)O)C)C	C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)C(=O)O)O)O)O)C)C
Dibenzo[A,L]Pyrene-11,12-Diol-13,14-Epoxide	MAM03385r	MAM03385	164497	Change chiral centers from anti to syn 	C1=CC=C2C(=C1)C3=CC=CC4=C3C5=C2C6=C(C=C5C=C4)[C@H]([C@@H]([C@H]7[C@@H]6O7)O)O	C1=CC=C2C(=C1)C3=CC=CC4=C3C5=C2C6=C(C=C5C=C4)C(=C([C@H]7[C@@H]6O7)O)O
Benzo[A]Pyrene-2,3-Diol	MAM03378x	MAM03378	42267	is this	C1=CC2=C3C(=C1)C=CC4=C3C(=CC5=C4C=CC(=C5O)O)C=C2	C1=CC2=C3C(=C1)C=CC4=C3C(=CC5=C4C=CC(=C5O)O)C=C2
dehydrodolichol	MAM01656c	MAM01656	MAM01730c	dehydro	CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C\CCC(C)CCO	CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C\CCC(C)CCO
